fen,phase,move_number,turn,material_diff
2krr3/pp1bb2p/1q1p2p1/2pP1p2/2Pp4/P2P1B1P/1P1BQPP1/1R3RK1 b - - 5 18,middlegame,36,black,0
r3k2r/pp1bb2p/1q1p2p1/2pP1p2/2Pp4/P2P1B1P/1P1B1PP1/1R1QK2R b Kkq - 1 16,middlegame,32,black,0
rn1qkbnr/ppp2ppp/4p3/5b2/2BP1B2/4P3/PP3PPP/RN1QK1NR b KQkq - 0 5,middlegame,10,black,0
rn1qk1nr/ppp2ppp/3bp3/5b2/2BP1B2/4P3/PP3PPP/RN1QK1NR w KQkq - 1 6,middlegame,11,white,0
1r3k2/p1q2p1p/2p3r1/4pb2/1nNP4/Q3P3/PP3PPP/2KR2NR w - - 0 18,middlegame,35,white,2
6k1/3npp1p/3p2p1/q2Pb3/4P3/1Q2B2P/PP3PP1/5K2 b - - 2 26,endgame,52,black,-1
2r1kb1r/pp1npppp/3p1n2/q2P4/4P3/2N2N2/PPQB1PPP/R3K2R b KQk - 3 11,middlegame,22,black,0
6k1/q2nppbp/3p2p1/3P4/4P3/1Q2B3/PP3PPP/6K1 b - - 1 24,endgame,48,black,-1
8/5k2/1Q3pp1/pp1p4/3P3q/P1Pb4/6RK/8 w - - 28 52,endgame,103,white,0
5rk1/8/4PppP/pp1p4/3Pb3/P1P5/2qB1Q2/6RK w - - 1 33,endgame,65,white,0
5rk1/5p1p/6rP/pp1pP3/2bP4/P1Pq4/3B1Q1R/6RK b - - 8 28,middlegame,56,black,0
r2q1rk1/5pp1/p2bpn1p/1p1pNb2/3n3B/1BN5/PPP2PPP/R3QRK1 w - - 0 14,middlegame,27,white,-1
r4rk1/4qpp1/p3pn1p/1p1N1b2/7B/1P6/PP3PPP/3RQRK1 b - - 0 18,middlegame,36,black,0
r2qkb1r/4pppp/p1n2n2/1p1p1bB1/3P4/1BN2N2/PPP2PPP/R2QK2R b KQkq - 1 9,middlegame,18,black,0
r3k2r/5pp1/p2p3p/2pPp3/P7/4b1P1/2bqB1PP/R4K1R b kq - 1 23,middlegame,46,black,-14
r1b1k2r/5pp1/p2p3p/qppPp1b1/P7/1P3Nn1/2PNBPPP/3RK2R w Kkq - 0 18,middlegame,35,white,-10
r3k2r/5pp1/p2p3p/2pPp3/P7/3bb1P1/3qB1PP/4RK1R b kq - 3 24,middlegame,48,black,-14
rnbqk2r/pp2npbp/3p2p1/2pP4/2B5/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 8,middlegame,15,white,0
rnbqk2r/pp1pnpbp/6p1/2pp4/2B1P3/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 7,middlegame,13,white,-1
r2q1rk1/pp4P1/3p4/2pP1b1Q/2B5/6P1/PPP2pP1/RN3K2 b - - 1 21,middlegame,42,black,0
r2q1rk1/ppp1bppp/2np1n2/5bB1/2P5/P1N2N2/1P2PPPP/R2QKB1R w KQ - 3 9,middlegame,17,white,0
3r1rk1/pp3ppp/2n5/3N2q1/4b3/P3P3/1P3PPP/R2QKB1R w KQ - 3 15,middlegame,29,white,1
r4rk1/ppN2ppp/2n5/5bq1/8/P3P3/1P3PPP/R2QKB1R b KQ - 0 13,middlegame,26,black,1
2kr1bnr/ppp1p1p1/n5pp/3NP3/3P2b1/8/PP2BPPP/R1BQK2R w KQ - 0 12,middlegame,23,white,6
rnb1kbnr/ppp1ppp1/2q4p/4P3/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 7,middlegame,14,black,0
rnbqkbnr/ppp1pppp/8/4P3/3p4/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 3,opening,6,black,0
r2qk2r/3nnpbp/b3p1p1/p2pP3/Bp1P4/3QBN2/PP2NPPP/R4RK1 w kq - 4 15,middlegame,29,white,0
r2q1rk1/3n1pbp/4p1p1/pQ1pP3/1P1P4/4PN2/1P2N1PP/R4RK1 b - - 0 19,middlegame,38,black,1
r2q1rk1/5pbp/1n2p1p1/pQ1pP3/1P1P4/4PN2/1P2N1PP/R4RK1 w - - 1 20,middlegame,39,white,1
1k1r4/ppp2p1Q/3p4/3P4/4P3/P7/2q2Pr1/3RK3 w - - 0 28,endgame,55,white,-6
2kr3r/ppp2pqp/3p4/3P4/2P1P2N/P4Q2/2P2Pn1/1R4K1 w - - 0 22,middlegame,43,white,-5
2kr3r/ppp2pqp/3p4/3P4/2P1Pn1N/P7/2P2PB1/1R1Q2K1 w - - 4 21,middlegame,41,white,-2
r1bqkbnr/pppp1ppp/2n5/8/4P3/4Q3/PPP2PPP/RNB1KBNR b KQkq - 2 4,opening,8,black,0
8/8/p5k1/4rPp1/2p5/P1Rb1K1P/8/8 b - - 0 46,endgame,92,black,-3
r1bqkb1r/1ppp1pp1/p1n2N1p/8/4P3/4Q3/PPP2PPP/R1B1KBNR b KQkq - 0 7,middlegame,14,black,3
r1bqk2r/pp2ppbp/2np1np1/8/2BNP3/2N1B3/PPP2PPP/R2QK2R w KQkq - 4 8,middlegame,15,white,0
r2q1rk1/4ppbp/2bp2p1/pp6/4PP2/PBN1Q2P/1PP3P1/2KRR3 b - - 1 17,middlegame,34,black,0
r1bqk1nr/pp2ppbp/2np2p1/8/2BNP3/2N1B3/PPP2PPP/R2QK2R b KQkq - 3 7,middlegame,14,black,0
rn1qk1nr/3p4/p2Pp1p1/1p6/4PRp1/7p/PPP3PP/RNB1K3 w Qkq - 0 17,middlegame,33,white,-9
rn1qk1n1/3p4/p2Pp1p1/1p6/4PR2/6Pr/PPP5/RNB1K3 w Qq - 0 19,middlegame,37,white,-8
rn1qkbnr/1bpppp1p/pp4p1/8/3PP3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 0 5,middlegame,10,black,0
rnb2bnr/p5pp/p7/5pk1/8/BPQ5/3P1PPP/RN2K1NR w KQ - 9 18,middlegame,35,white,6
rnbqkbnr/pp4pp/8/P1pppp2/8/1P6/1BPPPPPP/RN1QKBNR w KQkq - 0 5,opening,9,white,0
rnb2B1r/p5pp/p4n2/5pk1/8/1PQ5/3P1PPP/RN2K1NR w KQ - 1 19,middlegame,37,white,9
r2kr3/ppp3p1/5n1p/4n3/4PBb1/1BN2P2/PPP3PP/R4RK1 b - - 0 14,middlegame,28,black,2
r1bbk2r/pppn1Np1/5n1p/8/2B1P3/2N5/PPP2PPP/R1B1K2R b KQkq - 0 9,middlegame,18,black,2
rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 3 4,opening,8,black,0
r3k2r/5p2/2p1b2p/6p1/3Pp3/PR4P1/5PNP/5RK1 w kq - 2 26,endgame,51,white,0
7R/4kp2/2R4p/6p1/3Pp3/1b2N1P1/5P1P/r5K1 w - - 1 32,endgame,63,white,5
